,State,Compound,Low_Estimate,High_Estimate
1998,IA,Thiamethoxam,,70.7
1999,IA,Thiamethoxam,,59.0
2000,IA,Thiamethoxam,83.8,83.8
2001,IA,Thiamethoxam,108.1,108.1
2002,IA,Thiamethoxam,50.9,50.9
2003,IA,Thiamethoxam,,82.2
2004,IA,Thiamethoxam,56.9,56.9
2005,IA,Thiamethoxam,,11.0
2006,IA,Thiamethoxam,44.2,44.2
2007,IA,Thiamethoxam,,29.2
2008,IA,Thiamethoxam,85.6,85.6
2009,IA,Thiamethoxam,,31.5
2010,IA,Thiamethoxam,0.0,61.3
2011,IA,Thiamethoxam,0.0,2.5
2012,IA,Thiamethoxam,44.6,44.6
2013,IA,Thiamethoxam,0.8,27.8
2014,IA,Thiamethoxam,,11.3
2015,IA,Thiamethoxam,0.0,2.4
2016,IA,Thiamethoxam,,56.0
2017,IA,Thiamethoxam,49.7,49.7
2018,IA,Thiamethoxam,37.3,37.3
2019,IA,Thiamethoxam,0.6,3.5
2020,IA,Thiamethoxam,41.7,41.7
2021,IA,Thiamethoxam,70.0,70.0
2022,IA,Thiamethoxam,49.9,49.9
2023,IA,Thiamethoxam,0.1,34.4
2024,IA,Thiamethoxam,0.1,5.2
2025,IA,Thiamethoxam,0.1,56.5
2026,IA,Thiamethoxam,,19.1
2027,IA,Thiamethoxam,0.8,25.9
2028,IA,Thiamethoxam,,56.3
2029,IA,Thiamethoxam,0.8,28.3
2030,IA,Thiamethoxam,54.6,54.6
2031,IA,Thiamethoxam,0.1,56.3
2032,IA,Thiamethoxam,0.0,67.5
2033,IA,Thiamethoxam,,2.4
2034,IA,Thiamethoxam,,19.1
2035,IA,Thiamethoxam,38.7,38.7
2036,IA,Thiamethoxam,41.8,41.8
2037,IA,Thiamethoxam,,27.8
2038,IA,Thiamethoxam,77.9,77.9
2039,IA,Thiamethoxam,,21.3
2040,IA,Thiamethoxam,1.0,77.8
2041,IA,Thiamethoxam,43.4,43.4
2042,IA,Thiamethoxam,0.6,182.5
2043,IA,Thiamethoxam,0.1,32.6
2044,IA,Thiamethoxam,44.9,44.9
2045,IA,Thiamethoxam,64.9,64.9
2046,KS,Acetamiprid,0.0,0.0
2047,KS,Acetamiprid,0.1,0.1
2048,KS,Acetamiprid,0.0,0.0
2049,KS,Acetamiprid,0.1,0.1
2050,KS,Acetamiprid,0.0,0.0
2051,KS,Acetamiprid,0.0,0.0
2052,KS,Acetamiprid,0.0,0.0
2053,KS,Acetamiprid,0.0,0.0
2054,KS,Imidacloprid,1.6,49.9
2055,KS,Imidacloprid,,32.9
2056,KS,Imidacloprid,5.3,5.4
2057,KS,Imidacloprid,,4.2
2058,KS,Imidacloprid,,26.0
2059,KS,Imidacloprid,1.7,24.8
2060,KS,Imidacloprid,11.2,11.2
2061,KS,Imidacloprid,2.6,58.4
2062,KS,Imidacloprid,,8.8
2063,KS,Imidacloprid,0.3,6.1
2064,KS,Imidacloprid,146.8,219.7
2065,KS,Imidacloprid,,0.8
2066,KS,Imidacloprid,,0.0
2067,KS,Imidacloprid,11.1,48.7
2068,KS,Imidacloprid,13.3,37.1
2069,KS,Imidacloprid,,32.2
2070,KS,Imidacloprid,,0.6
2071,KS,Imidacloprid,2.6,66.3
2072,KS,Imidacloprid,5.0,58.7
2073,KS,Imidacloprid,0.1,0.6
2074,KS,Imidacloprid,,62.2
2075,KS,Imidacloprid,6.4,6.6
2076,KS,Imidacloprid,,15.5
2077,KS,Imidacloprid,,10.7
2078,KS,Imidacloprid,,9.2
2079,KS,Imidacloprid,,0.8
2080,KS,Imidacloprid,,12.6
2081,KS,Imidacloprid,33.5,37.5
2082,KS,Imidacloprid,28.1,32.8
2083,KS,Imidacloprid,,32.4
2084,KS,Imidacloprid,,6.7
2085,KS,Imidacloprid,,0.8
2086,KS,Imidacloprid,,1.3
2087,KS,Imidacloprid,15.9,17.2
2088,KS,Imidacloprid,,5.8
2089,KS,Imidacloprid,,0.1
2090,KS,Imidacloprid,0.5,20.0
2091,KS,Imidacloprid,,10.5
2092,KS,Imidacloprid,,40.4
2093,KS,Imidacloprid,,5.7
2094,KS,Imidacloprid,,0.5
2095,KS,Imidacloprid,4.3,4.3
2096,KS,Imidacloprid,4.8,4.8
2097,KS,Imidacloprid,,33.1
2098,KS,Imidacloprid,,10.2
2099,KS,Imidacloprid,20.0,22.4
2100,KS,Imidacloprid,,6.9
2101,KS,Imidacloprid,,9.9
2102,KS,Imidacloprid,26.6,79.0
2103,KS,Imidacloprid,,0.7
2104,KS,Imidacloprid,2.9,4.1
2105,KS,Imidacloprid,,21.1
2106,KS,Imidacloprid,,25.8
2107,KS,Imidacloprid,,0.3
2108,KS,Imidacloprid,,31.5
2109,KS,Imidacloprid,,55.0
2110,KS,Imidacloprid,,57.9
2111,KS,Imidacloprid,14.5,14.5
2112,KS,Imidacloprid,,3.0
2113,KS,Imidacloprid,,19.5
2114,KS,Imidacloprid,,19.8
2115,KS,Imidacloprid,1.1,47.1
2116,KS,Imidacloprid,,19.0
2117,KS,Imidacloprid,,2.1
2118,KS,Imidacloprid,11.2,11.2
2119,KS,Imidacloprid,1.5,41.8
2120,KS,Imidacloprid,,0.2
2121,KS,Imidacloprid,,2.8
2122,KS,Imidacloprid,,31.9
2123,KS,Imidacloprid,,10.7
2124,KS,Imidacloprid,10.9,34.6
2125,KS,Imidacloprid,,9.4
2126,KS,Imidacloprid,,6.1
2127,KS,Imidacloprid,4.5,4.5
2128,KS,Imidacloprid,,30.5
2129,KS,Imidacloprid,,1.4
2130,KS,Imidacloprid,,36.9
2131,KS,Imidacloprid,,40.0
2132,KS,Imidacloprid,,37.0
2133,KS,Imidacloprid,3.6,3.7
2134,KS,Imidacloprid,,6.5
2135,KS,Imidacloprid,,3.1
2136,KS,Imidacloprid,,5.8
2137,KS,Imidacloprid,,34.0
2138,KS,Imidacloprid,,0.6
2139,KS,Imidacloprid,,31.8
2140,KS,Imidacloprid,,9.2
2141,KS,Imidacloprid,,16.6
2142,KS,Imidacloprid,,3.3
2143,KS,Imidacloprid,,0.7
2144,KS,Imidacloprid,17.8,39.2
2145,KS,Imidacloprid,,16.7
2146,KS,Imidacloprid,,0.1
2147,KS,Imidacloprid,18.7,36.1
2148,KS,Imidacloprid,,58.9
2149,KS,Imidacloprid,,2.3
2150,KS,Imidacloprid,,1.0
2151,KS,Imidacloprid,,11.9
2152,KS,Imidacloprid,23.5,23.9
2153,KS,Imidacloprid,0.1,44.7
2154,KS,Imidacloprid,,0.9
2155,KS,Imidacloprid,1.4,50.4
2156,KS,Imidacloprid,0.4,23.9
2157,KS,Imidacloprid,0.3,0.3
2158,KS,Thiamethoxam,0.0,56.1
2159,KS,Thiamethoxam,,68.6
2160,KS,Thiamethoxam,,47.2
2161,KS,Thiamethoxam,,4.0
2162,KS,Thiamethoxam,,4.5
2163,KS,Thiamethoxam,0.0,26.7
2164,KS,Thiamethoxam,,99.9
2165,KS,Thiamethoxam,0.1,64.8
2166,KS,Thiamethoxam,,18.4
2167,KS,Thiamethoxam,0.0,6.7
2168,KS,Thiamethoxam,3.4,87.9
2169,KS,Thiamethoxam,,0.5
2170,KS,Thiamethoxam,,0.0
2171,KS,Thiamethoxam,,11.4
2172,KS,Thiamethoxam,,7.2
2173,KS,Thiamethoxam,,67.2
2174,KS,Thiamethoxam,,0.5
2175,KS,Thiamethoxam,0.1,75.9
2176,KS,Thiamethoxam,0.1,62.4
2177,KS,Thiamethoxam,,0.3
2178,KS,Thiamethoxam,,10.8
2179,KS,Thiamethoxam,,57.5
2180,KS,Thiamethoxam,,32.4
2181,KS,Thiamethoxam,,3.0
2182,KS,Thiamethoxam,,10.6
2183,KS,Thiamethoxam,,0.1
2184,KS,Thiamethoxam,,2.2
2185,KS,Thiamethoxam,,1.1
2186,KS,Thiamethoxam,,2.8
2187,KS,Thiamethoxam,,67.5
2188,KS,Thiamethoxam,,14.0
2189,KS,Thiamethoxam,,0.2
2190,KS,Thiamethoxam,,0.9
2191,KS,Thiamethoxam,,1.2
2192,KS,Thiamethoxam,,5.2
2193,KS,Thiamethoxam,,0.0
2194,KS,Thiamethoxam,0.0,22.7
2195,KS,Thiamethoxam,,10.5
2196,KS,Thiamethoxam,,15.8
2197,KS,Thiamethoxam,,5.4
2198,KS,Thiamethoxam,,0.1
2199,KS,Thiamethoxam,,38.4
2200,KS,Thiamethoxam,,42.5
2201,KS,Thiamethoxam,,10.0
2202,KS,Thiamethoxam,,21.2
2203,KS,Thiamethoxam,,1.7
2204,KS,Thiamethoxam,,2.7
2205,KS,Thiamethoxam,,8.6
2206,KS,Thiamethoxam,0.6,61.3
2207,KS,Thiamethoxam,,0.2
2208,KS,Thiamethoxam,,25.9
2209,KS,Thiamethoxam,,3.7
2210,KS,Thiamethoxam,,53.9
2211,KS,Thiamethoxam,,0.1
2212,KS,Thiamethoxam,,65.6
2213,KS,Thiamethoxam,,9.6
2214,KS,Thiamethoxam,1.0,11.0
2215,KS,Thiamethoxam,,129.8
2216,KS,Thiamethoxam,,0.8
2217,KS,Thiamethoxam,,40.7
2218,KS,Thiamethoxam,,6.0
2219,KS,Thiamethoxam,0.0,53.3
2220,KS,Thiamethoxam,,39.7
2221,KS,Thiamethoxam,,2.7
2222,KS,Thiamethoxam,,99.9
2223,KS,Thiamethoxam,0.0,46.7
2224,KS,Thiamethoxam,,0.1
2225,KS,Thiamethoxam,,1.9
2226,KS,Thiamethoxam,,66.5
2227,KS,Thiamethoxam,,3.3
2228,KS,Thiamethoxam,,7.2
2229,KS,Thiamethoxam,,3.7
2230,KS,Thiamethoxam,,1.9
2231,KS,Thiamethoxam,,39.8
2232,KS,Thiamethoxam,,31.6
2233,KS,Thiamethoxam,,1.0
2234,KS,Thiamethoxam,,11.6
2235,KS,Thiamethoxam,,12.1
2236,KS,Thiamethoxam,,6.4
2237,KS,Thiamethoxam,,32.1
2238,KS,Thiamethoxam,,2.0
2239,KS,Thiamethoxam,,0.5
2240,KS,Thiamethoxam,,1.0
2241,KS,Thiamethoxam,,5.9
2242,KS,Thiamethoxam,,0.2
2243,KS,Thiamethoxam,,9.9
2244,KS,Thiamethoxam,,9.1
2245,KS,Thiamethoxam,,34.7
2246,KS,Thiamethoxam,,2.3
2247,KS,Thiamethoxam,,0.5
2248,KS,Thiamethoxam,,6.5
2249,KS,Thiamethoxam,,8.9
2250,KS,Thiamethoxam,,0.0
2251,KS,Thiamethoxam,,20.9
2252,KS,Thiamethoxam,,31.0
2253,KS,Thiamethoxam,,1.6
2254,KS,Thiamethoxam,,0.3
2255,KS,Thiamethoxam,,24.9
2256,KS,Thiamethoxam,,0.1
2257,KS,Thiamethoxam,,13.5
2258,KS,Thiamethoxam,,0.3
2259,KS,Thiamethoxam,0.0,56.9
2260,KS,Thiamethoxam,0.0,27.2
2261,KS,Thiamethoxam,,2.4
2262,KY,Acetamiprid,0.1,0.1
2263,KY,Acetamiprid,0.3,0.3
2264,KY,Acetamiprid,0.2,0.2
2265,KY,Acetamiprid,,0.1
2266,KY,Acetamiprid,0.6,0.6
2267,KY,Acetamiprid,0.1,0.1
2268,KY,Acetamiprid,1.0,1.0
2269,KY,Acetamiprid,2.3,2.3
2270,KY,Acetamiprid,0.5,0.5
2271,KY,Acetamiprid,0.0,0.0
2272,KY,Acetamiprid,0.7,0.7
2273,KY,Acetamiprid,1.3,1.3
2274,KY,Acetamiprid,0.3,0.3
2275,KY,Acetamiprid,0.3,0.3
2276,KY,Acetamiprid,0.4,0.4
2277,KY,Acetamiprid,,0.2
2278,KY,Acetamiprid,,0.0
2279,KY,Acetamiprid,1.3,1.3
2280,KY,Acetamiprid,0.0,0.0
2281,KY,Acetamiprid,0.0,0.0
2282,KY,Acetamiprid,0.8,0.8
2283,KY,Acetamiprid,,0.7
2284,KY,Acetamiprid,0.3,0.3
2285,KY,Acetamiprid,0.2,0.2
2286,KY,Acetamiprid,0.1,0.1
2287,KY,Acetamiprid,,0.2
2288,KY,Acetamiprid,0.1,0.1
2289,KY,Acetamiprid,,0.5
2290,KY,Acetamiprid,0.1,0.1
2291,KY,Acetamiprid,0.5,0.5
2292,KY,Acetamiprid,0.2,0.2
2293,KY,Acetamiprid,1.1,1.1
2294,KY,Acetamiprid,0.4,0.4
2295,KY,Acetamiprid,0.0,0.0
2296,KY,Acetamiprid,0.3,0.3
2297,KY,Acetamiprid,,0.3
2298,KY,Acetamiprid,0.0,0.0
2299,KY,Acetamiprid,0.0,0.0
2300,KY,Acetamiprid,0.0,0.0
2301,KY,Acetamiprid,,0.4
2302,KY,Acetamiprid,0.3,0.3
2303,KY,Acetamiprid,0.1,0.1
2304,KY,Acetamiprid,1.9,1.9
2305,KY,Acetamiprid,0.4,0.4
2306,KY,Acetamiprid,4.0,4.0
2307,KY,Acetamiprid,0.8,0.8
2308,KY,Acetamiprid,0.8,0.8
2309,KY,Acetamiprid,,0.6
2310,KY,Acetamiprid,0.8,0.8
2311,KY,Acetamiprid,,0.1
2312,KY,Acetamiprid,0.3,0.3
2313,KY,Acetamiprid,0.7,0.7
2314,KY,Acetamiprid,0.3,0.3
2315,KY,Acetamiprid,0.0,0.0
2316,KY,Acetamiprid,0.3,0.3
2317,KY,Acetamiprid,0.0,0.0
2318,KY,Acetamiprid,0.4,0.4
2319,KY,Acetamiprid,0.8,0.8
2320,KY,Acetamiprid,0.0,0.0
2321,KY,Acetamiprid,0.1,0.1
2322,KY,Acetamiprid,0.1,0.1
2323,KY,Acetamiprid,,0.2
2324,KY,Acetamiprid,,0.4
2325,KY,Acetamiprid,,0.1
2326,KY,Acetamiprid,,0.2
2327,KY,Acetamiprid,,0.4
2328,KY,Acetamiprid,0.3,0.3
2329,KY,Acetamiprid,0.0,0.0
2330,KY,Acetamiprid,0.3,0.3
2331,KY,Acetamiprid,,0.2
2332,KY,Acetamiprid,0.5,0.5
2333,KY,Acetamiprid,0.2,0.2
2334,KY,Acetamiprid,0.6,0.6
2335,KY,Acetamiprid,1.6,1.6
2336,KY,Acetamiprid,0.1,0.1
2337,KY,Acetamiprid,0.0,0.0
2338,KY,Acetamiprid,0.0,0.0
2339,KY,Acetamiprid,,0.2
2340,KY,Acetamiprid,0.3,0.3
2341,KY,Acetamiprid,1.1,1.1
2342,KY,Acetamiprid,,0.1
2343,KY,Acetamiprid,0.3,0.3
2344,KY,Acetamiprid,1.5,1.5
2345,KY,Acetamiprid,0.6,0.6
2346,KY,Acetamiprid,0.0,0.0
2347,KY,Acetamiprid,0.6,0.6
2348,KY,Acetamiprid,2.9,2.9
2349,KY,Acetamiprid,0.0,0.0
2350,KY,Acetamiprid,0.7,0.7
2351,KY,Acetamiprid,1.2,1.2
2352,KY,Acetamiprid,0.1,0.1
2353,KY,Acetamiprid,3.7,3.7
2354,KY,Acetamiprid,1.9,1.9
2355,KY,Acetamiprid,,0.0
2356,KY,Acetamiprid,0.3,0.3
2357,KY,Acetamiprid,0.6,0.6
2358,KY,Acetamiprid,,0.4
2359,KY,Acetamiprid,,0.1
2360,KY,Acetamiprid,0.1,0.1
2361,KY,Acetamiprid,,0.5
2362,KY,Acetamiprid,4.0,4.0
2363,KY,Acetamiprid,0.2,0.2
2364,KY,Acetamiprid,0.6,0.6
2365,KY,Acetamiprid,,0.4
2366,KY,Acetamiprid,0.0,0.0
2367,KY,Acetamiprid,2.5,2.5
2368,KY,Clothianidin,,0.2
2369,KY,Clothianidin,,0.0
2370,KY,Clothianidin,,0.0
2371,KY,Clothianidin,,0.0
2372,KY,Clothianidin,,0.1
2373,KY,Clothianidin,,0.0
2374,KY,Clothianidin,,0.0
2375,KY,Clothianidin,,0.3
2376,KY,Clothianidin,,0.7
2377,KY,Clothianidin,,0.0
2378,KY,Clothianidin,,0.0
2379,KY,Clothianidin,,0.0
2380,KY,Clothianidin,,0.1
2381,KY,Clothianidin,,0.0
2382,KY,Clothianidin,,0.0
2383,KY,Clothianidin,,0.0
2384,KY,Clothianidin,,0.0
2385,KY,Clothianidin,,0.0
2386,KY,Clothianidin,,0.1
2387,KY,Clothianidin,,0.5
2388,KY,Clothianidin,,0.1
2389,KY,Clothianidin,,0.2
2390,KY,Clothianidin,,0.1
2391,KY,Clothianidin,,0.0
2392,KY,Imidacloprid,22.8,22.8
2393,KY,Imidacloprid,98.5,98.5
2394,KY,Imidacloprid,6.3,6.3
2395,KY,Imidacloprid,4.3,26.2
2396,KY,Imidacloprid,121.7,121.6
2397,KY,Imidacloprid,36.7,36.7
2398,KY,Imidacloprid,0.8,0.8
2399,KY,Imidacloprid,6.0,6.9
2400,KY,Imidacloprid,86.0,86.0
2401,KY,Imidacloprid,0.0,0.0
2402,KY,Imidacloprid,10.2,10.2
2403,KY,Imidacloprid,13.8,14.2
2404,KY,Imidacloprid,5.8,5.8
2405,KY,Imidacloprid,83.9,83.8
2406,KY,Imidacloprid,1.1,1.0
2407,KY,Imidacloprid,2.7,2.6
2408,KY,Imidacloprid,11.4,30.3
2409,KY,Imidacloprid,112.6,141.9
2410,KY,Imidacloprid,1.6,1.7
2411,KY,Imidacloprid,14.7,33.3
2412,KY,Imidacloprid,4.7,5.6
2413,KY,Imidacloprid,10.2,10.2
2414,KY,Imidacloprid,16.8,16.8
2415,KY,Imidacloprid,233.4,281.8
2416,KY,Imidacloprid,42.6,42.6
2417,KY,Imidacloprid,18.0,18.0
2418,KY,Imidacloprid,6.8,6.8
2419,KY,Imidacloprid,0.1,13.8
2420,KY,Imidacloprid,2.9,2.9
2421,KY,Imidacloprid,116.5,160.8
2422,KY,Imidacloprid,6.3,6.3
2423,KY,Imidacloprid,1.4,1.4
2424,KY,Imidacloprid,0.2,0.2
2425,KY,Imidacloprid,45.1,45.1
2426,KY,Imidacloprid,91.5,91.5
2427,KY,Imidacloprid,0.1,0.1
2428,KY,Imidacloprid,19.0,19.0
2429,KY,Imidacloprid,0.1,27.8
2430,KY,Imidacloprid,10.1,10.9
2431,KY,Imidacloprid,54.7,54.7
2432,KY,Imidacloprid,12.0,12.2
2433,KY,Imidacloprid,105.1,160.7
2434,KY,Imidacloprid,11.2,11.2
2435,KY,Imidacloprid,69.6,69.6
2436,KY,Imidacloprid,5.4,5.4
2437,KY,Imidacloprid,18.9,27.5
2438,KY,Imidacloprid,16.7,16.6
2439,KY,Imidacloprid,0.5,0.5
2440,KY,Imidacloprid,89.8,89.8
2441,KY,Imidacloprid,48.2,48.2
2442,KY,Imidacloprid,14.5,63.8
2443,KY,Imidacloprid,34.7,39.2
2444,KY,Imidacloprid,2.2,31.8
2445,KY,Imidacloprid,7.3,29.2
2446,KY,Imidacloprid,10.0,10.0
2447,KY,Imidacloprid,2.3,2.2
2448,KY,Imidacloprid,17.3,17.3
2449,KY,Imidacloprid,0.0,0.0
2450,KY,Imidacloprid,4.0,4.0
2451,KY,Imidacloprid,0.2,0.2
2452,KY,Imidacloprid,37.1,37.1
2453,KY,Imidacloprid,15.8,15.8
2454,KY,Imidacloprid,0.8,0.8
2455,KY,Imidacloprid,0.5,0.5
2456,KY,Imidacloprid,26.8,26.8
2457,KY,Imidacloprid,37.4,37.4
2458,KY,Imidacloprid,0.3,11.2
2459,KY,Imidacloprid,108.5,154.2
2460,KY,Imidacloprid,4.3,9.2
2461,KY,Imidacloprid,5.3,18.1
2462,KY,Imidacloprid,0.1,0.1
2463,KY,Imidacloprid,18.8,48.7
2464,KY,Imidacloprid,21.4,21.4
2465,KY,Imidacloprid,6.5,6.5
2466,KY,Imidacloprid,33.4,33.2
2467,KY,Imidacloprid,5.2,18.1
2468,KY,Imidacloprid,0.1,0.1
2469,KY,Imidacloprid,81.5,81.5
2470,KY,Imidacloprid,7.9,7.9
2471,KY,Imidacloprid,1.3,1.3
2472,KY,Imidacloprid,31.3,31.3
2473,KY,Imidacloprid,42.7,42.5
2474,KY,Imidacloprid,93.6,93.6
2475,KY,Imidacloprid,44.2,44.2
2476,KY,Imidacloprid,9.8,9.8
2477,KY,Imidacloprid,21.8,33.5
2478,KY,Imidacloprid,22.4,22.3
2479,KY,Imidacloprid,73.9,73.9
2480,KY,Imidacloprid,9.3,29.7
2481,KY,Imidacloprid,1.5,3.2
2482,KY,Imidacloprid,21.5,22.3
2483,KY,Imidacloprid,7.3,7.3
2484,KY,Imidacloprid,18.8,19.8
2485,KY,Imidacloprid,0.1,0.1
2486,KY,Imidacloprid,0.0,0.0
2487,KY,Imidacloprid,2.3,2.3
2488,KY,Imidacloprid,34.9,34.9
2489,KY,Imidacloprid,8.4,8.4
2490,KY,Imidacloprid,20.5,20.5
2491,KY,Imidacloprid,2.1,2.1
2492,KY,Imidacloprid,2.7,2.7
2493,KY,Imidacloprid,50.0,50.0
2494,KY,Imidacloprid,106.4,106.4
2495,KY,Imidacloprid,11.8,37.3
2496,KY,Imidacloprid,23.9,23.9
2497,KY,Imidacloprid,35.4,35.4
2498,KY,Imidacloprid,123.4,153.9
2499,KY,Imidacloprid,77.1,92.5
2500,KY,Imidacloprid,13.2,14.8
2501,KY,Imidacloprid,2.4,31.7
2502,KY,Imidacloprid,30.7,30.7
2503,KY,Imidacloprid,32.9,32.9
2504,KY,Imidacloprid,12.3,12.3
2505,KY,Imidacloprid,7.7,31.1
2506,KY,Imidacloprid,0.7,0.7
2507,KY,Imidacloprid,3.2,3.2
2508,KY,Imidacloprid,44.4,44.4
2509,KY,Thiamethoxam,0.9,0.9
2510,KY,Thiamethoxam,3.9,3.9
2511,KY,Thiamethoxam,1.1,1.1
2512,KY,Thiamethoxam,,7.7
2513,KY,Thiamethoxam,4.8,4.8
2514,KY,Thiamethoxam,6.2,6.2
2515,KY,Thiamethoxam,0.3,0.3
2516,KY,Thiamethoxam,3.8,3.8
2517,KY,Thiamethoxam,14.5,14.5
2518,KY,Thiamethoxam,0.0,0.0
2519,KY,Thiamethoxam,1.7,1.7
2520,KY,Thiamethoxam,10.6,10.6
2521,KY,Thiamethoxam,0.1,0.1
2522,KY,Thiamethoxam,3.3,3.3
2523,KY,Thiamethoxam,0.0,0.0
2524,KY,Thiamethoxam,0.1,0.1
2525,KY,Thiamethoxam,0.2,7.3
2526,KY,Thiamethoxam,,12.0
2527,KY,Thiamethoxam,0.7,0.7
2528,KY,Thiamethoxam,,6.7
2529,KY,Thiamethoxam,3.6,3.6
2530,KY,Thiamethoxam,0.3,0.3
2531,KY,Thiamethoxam,0.6,0.6
2532,KY,Thiamethoxam,3.5,21.7
2533,KY,Thiamethoxam,7.2,7.2
2534,KY,Thiamethoxam,0.5,0.5
2535,KY,Thiamethoxam,0.3,0.3
2536,KY,Thiamethoxam,,5.1
2537,KY,Thiamethoxam,0.1,0.1
2538,KY,Thiamethoxam,1.7,18.4
2539,KY,Thiamethoxam,0.2,0.2
2540,KY,Thiamethoxam,0.2,0.2
2541,KY,Thiamethoxam,0.1,0.1
2542,KY,Thiamethoxam,7.5,7.5
2543,KY,Thiamethoxam,15.5,15.5
2544,KY,Thiamethoxam,0.0,0.0
2545,KY,Thiamethoxam,3.2,3.2
2546,KY,Thiamethoxam,,9.7
2547,KY,Thiamethoxam,7.8,7.8
2548,KY,Thiamethoxam,9.3,9.3
2549,KY,Thiamethoxam,9.2,9.2
2550,KY,Thiamethoxam,,21.1
2551,KY,Thiamethoxam,0.4,0.4
2552,KY,Thiamethoxam,2.7,2.7
2553,KY,Thiamethoxam,0.7,0.7
2554,KY,Thiamethoxam,0.3,3.5
2555,KY,Thiamethoxam,0.6,0.6
2556,KY,Thiamethoxam,1.2,1.2
2557,KY,Thiamethoxam,15.1,15.1
2558,KY,Thiamethoxam,1.9,1.9
2559,KY,Thiamethoxam,0.2,18.7
2560,KY,Thiamethoxam,26.5,26.5
2561,KY,Thiamethoxam,,10.3
2562,KY,Thiamethoxam,0.1,8.3
2563,KY,Thiamethoxam,0.3,0.3
2564,KY,Thiamethoxam,0.1,0.1
2565,KY,Thiamethoxam,2.9,2.9
2566,KY,Thiamethoxam,0.0,0.0
2567,KY,Thiamethoxam,2.5,2.5
2568,KY,Thiamethoxam,0.0,0.0
2569,KY,Thiamethoxam,1.4,1.4
2570,KY,Thiamethoxam,0.6,0.6
2571,KY,Thiamethoxam,0.0,0.0
2572,KY,Thiamethoxam,0.8,0.8
2573,KY,Thiamethoxam,6.0,6.0
2574,KY,Thiamethoxam,,3.8
2575,KY,Thiamethoxam,1.6,18.8
2576,KY,Thiamethoxam,,1.8
2577,KY,Thiamethoxam,,4.6
2578,KY,Thiamethoxam,0.3,11.5
2579,KY,Thiamethoxam,3.6,3.6
2580,KY,Thiamethoxam,0.2,0.2
2581,KY,Thiamethoxam,1.3,1.3
2582,KY,Thiamethoxam,,4.6
2583,KY,Thiamethoxam,13.7,13.7
2584,KY,Thiamethoxam,0.3,0.3
2585,KY,Thiamethoxam,0.0,0.0
2586,KY,Thiamethoxam,5.3,5.3
2587,KY,Thiamethoxam,1.6,1.6
2588,KY,Thiamethoxam,3.7,3.7
2589,KY,Thiamethoxam,7.5,7.5
2590,KY,Thiamethoxam,0.3,0.3
2591,KY,Thiamethoxam,0.3,4.7
2592,KY,Thiamethoxam,0.9,0.9
2593,KY,Thiamethoxam,12.5,12.5
2594,KY,Thiamethoxam,0.1,7.8
2595,KY,Thiamethoxam,0.4,0.4
2596,KY,Thiamethoxam,16.3,16.3
2597,KY,Thiamethoxam,0.2,0.2
2598,KY,Thiamethoxam,14.5,14.5
2599,KY,Thiamethoxam,0.0,0.0
2600,KY,Thiamethoxam,0.3,0.3
2601,KY,Thiamethoxam,1.8,1.8
2602,KY,Thiamethoxam,1.4,1.4
2603,KY,Thiamethoxam,0.8,0.8
2604,KY,Thiamethoxam,0.4,0.4
2605,KY,Thiamethoxam,0.1,0.1
2606,KY,Thiamethoxam,8.3,8.3
2607,KY,Thiamethoxam,18.0,18.0
2608,KY,Thiamethoxam,0.2,9.7
2609,KY,Thiamethoxam,4.0,4.0
2610,KY,Thiamethoxam,1.4,1.4
2611,KY,Thiamethoxam,1.8,13.3
2612,KY,Thiamethoxam,,6.6
2613,KY,Thiamethoxam,10.2,10.2
2614,KY,Thiamethoxam,0.0,11.1
2615,KY,Thiamethoxam,1.1,1.1
2616,KY,Thiamethoxam,5.6,5.6
2617,KY,Thiamethoxam,0.5,0.5
2618,KY,Thiamethoxam,0.1,8.9
2619,KY,Thiamethoxam,0.0,0.0
2620,KY,Thiamethoxam,0.1,0.1
2621,KY,Thiamethoxam,7.4,7.4
2622,LA,Acetamiprid,,2.4
2623,LA,Acetamiprid,,25.2
2624,LA,Acetamiprid,19.4,19.4
2625,LA,Acetamiprid,,74.8
2626,LA,Acetamiprid,,62.8
2627,LA,Acetamiprid,37.8,37.8
2628,LA,Acetamiprid,,2.3
2629,LA,Acetamiprid,37.6,37.6
2630,LA,Acetamiprid,,5.1
2631,LA,Acetamiprid,71.4,71.4
2632,LA,Acetamiprid,4.5,4.5
2633,LA,Acetamiprid,23.5,23.5
2634,LA,Acetamiprid,,5.6
2635,LA,Acetamiprid,,35.7
2636,LA,Acetamiprid,16.2,16.2
2637,LA,Acetamiprid,,5.7
2638,LA,Acetamiprid,152.2,152.2
2639,LA,Acetamiprid,10.9,10.9
2640,LA,Imidacloprid,192.5,192.5
2641,LA,Imidacloprid,61.2,61.2
2642,LA,Imidacloprid,,1.8
2643,LA,Imidacloprid,,22.3
2644,LA,Imidacloprid,153.6,343.9
2645,LA,Imidacloprid,37.4,37.4
2646,LA,Imidacloprid,0.1,0.1
2647,LA,Imidacloprid,37.7,44.0
2648,LA,Imidacloprid,566.3,686.1
2649,LA,Imidacloprid,44.2,44.2
2650,LA,Imidacloprid,79.7,79.7
2651,LA,Imidacloprid,20.6,20.6
2652,LA,Imidacloprid,433.4,614.2
2653,LA,Imidacloprid,0.2,0.2
2654,LA,Imidacloprid,355.2,597.2
